ID_CLIENT,FREQ,TOTAL_SPEND,TRAFFIC,AVG_BASKET,SCORE_IMPACT
-9.22329e+18,1,119.96,1,119.96,2.8730322176932885
-9.22324e+18,2,63.980000000000004,2,31.990000000000002,1.4349963266060395
-9.22281e+18,2,54.29,2,27.145,1.3345436502868853
-9.22209e+18,2,155.82999999999998,2,77.91499999999999,2.3871715918190732
-9.22193e+18,2,47.92,2,23.96,1.2685081964011256
-9.22165e+18,1,27.0,1,27.0,0.9456677614232033
-9.22158e+18,11,512.26,11,46.56909090909091,5.210094591089585
-9.22146e+18,6,184.22,6,30.703333333333333,2.951797784545303
-9.2213e+18,2,141.0,1,70.5,2.108434420527737
-9.22111e+18,1,27.98,1,27.98,0.9659863626188216
-9.22106e+18,1,78.4,1,78.4,2.011357660866861
-9.21992e+18,2,76.98,2,38.49,1.569762559025957
-9.21979e+18,5,153.42000000000002,5,30.684000000000005,2.565527376175073
-9.21956e+18,1,59.85,1,59.85,1.6267555668069418
-9.21947e+18,2,100.85999999999999,2,50.42999999999999,1.8173177613480826
-9.21889e+18,27,1693.34,25,62.71629629629629,11.468791947513118
-9.21855e+18,10,456.61,9,45.661,4.680397335024046
-9.21781e+18,1,69.0,1,69.0,1.8164649555211336
-9.21769e+18,2,169.89,2,84.945,2.5329264554978463
-9.21767e+18,1,157.0,1,157.0,3.6409924098215587
-9.21761e+18,1,58.4,1,58.4,1.596692330344037
-9.21729e+18,1,55.0,1,55.0,1.526199224155157
-9.21636e+18,4,235.76,4,58.94,2.765496989920327
-9.216e+18,1,39.9,1,39.9,1.2131268996104247
-9.21573e+18,3,135.9,3,45.300000000000004,2.09682566928637
-9.21556e+18,11,782.0699999999999,9,71.09727272727272,5.468643922127599
-9.21544e+18,3,232.6,3,77.53333333333333,2.765127960312321
-9.21467e+18,5,434.28,5,86.856,3.7301564234814752
-9.21391e+18,21,1269.76,21,60.46476190476191,9.356892893576315
-9.21358e+18,15,697.62,13,46.508,6.502306237858643
-9.21326e+18,5,414.34,5,82.868,3.6474721565752244
-9.21316e+18,1,14.99,1,14.99,0.6966612304442478
-9.21291e+18,3,154.99,2,51.663333333333334,2.103758355281048
-9.21271e+18,6,432.47999999999996,6,72.08,3.8096712425086046
-9.21269e+18,2,107.82,1,53.91,1.7644695288590542
-9.21178e+18,4,201.95,4,50.4875,2.5902490546081185
-9.21171e+18,1,97.5,1,97.5,2.4073630515161577
-9.21165e+18,5,382.22,5,76.444,3.5142816524112934
-9.21136e+18,5,367.39,5,73.478,3.452786783894759
-9.21111e+18,3,316.71000000000004,3,105.57000000000001,3.3464196428169
-9.21092e+18,3,87.88,3,29.293333333333333,1.76495518309127
-9.21085e+18,1,3.0,1,3.0,0.4480693647958149
-9.2106e+18,4,220.87,4,55.2175,2.6883174052767664
-9.21043e+18,1,98.0,1,98.0,2.417729684779228
-9.20917e+18,1,38.0,1,38.0,1.1737336932107565
-9.20875e+18,1,19.96,1,19.96,0.7997055650791695
-9.20849e+18,1,122.22,1,122.22,2.9198894000423676
-9.20824e+18,1,125.0,1,125.0,2.9775278809850403
-9.20783e+18,1,16.9,1,16.9,0.7362617695091774
-9.20764e+18,1,23.98,1,23.98,0.8830532965142572
-9.20759e+18,1,185.06,1,185.06,4.222767868545081
-9.20703e+18,2,150.0,2,75.0,2.326734119895372
-9.20698e+18,2,39.89,2,19.945,1.1852641312986687
-9.20691e+18,3,275.75,3,91.91666666666667,3.0633414438466513
-9.20681e+18,1,31.990000000000002,1,31.990000000000002,1.0491267613886481
